,Year,Player,Age,Tm,G,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,3P%,FT%,Pick,GS%,FGA/48,PF/48,MPG,Improvement,Frontcourt,Imprv_prev_year,Tm_WS,Tm_next,Change_team
82,1980.0,Joe Bryant,25,SDC,81.0,0.485,0.05,0.318,12.0,8.1,2.1,0.9,17.9,16.3,1.8,0.038,0.147,0.742,14.0,0.5942022050017158,14.061855670103093,5.319587628865979,28.740740740740737,1.5999999999999999,1,0.0,21.8,SDC,True
83,1980.0,Joe Hassett,24,IND,74.0,0.501,0.389,0.057,4.3,12.6,1.9,0.4,7.9,19.4,2.0,0.085,0.348,0.828,52.0,0.3171030679206879,21.525991189427312,3.594713656387665,15.337837837837839,-0.6000000000000001,0,0.0,42.099999999999994,GSW,False
84,1980.0,Joe Meriweather,26,NYK,65.0,0.5489999999999999,0.002,0.254,12.2,5.3,1.1,4.2,17.4,15.8,2.2,0.068,0.05,0.645,11.0,0.4977798210219567,14.630031948881788,7.3303514376996795,24.07692307692308,0.3999999999999999,1,0.0,31.499999999999996,KCK,False
85,1980.0,Joel Kramer,24,PHO,54.0,0.547,0.006999999999999999,0.49,11.7,13.0,1.7,0.4,22.7,12.6,1.4,0.095,0.05,0.8,61.0,0.2722150565439561,9.654008438818565,7.0210970464135025,13.166666666666664,1.5,1,0.0,46.8,PHO,True
86,1980.0,John Drew,25,ATL,80.0,0.532,0.006,0.547,11.0,7.4,1.9,0.6,14.1,30.2,6.4,0.134,0.05,0.757,25.0,0.5959442282186989,24.60364267129228,6.5151777970511695,28.825,-1.0,0,0.0,41.900000000000006,ATL,True
87,1980.0,John Johnson,32,SEA,81.0,0.532,0.0,0.26,8.8,22.4,1.4,0.8,22.3,17.2,4.9,0.093,0.05,0.8009999999999999,61.0,0.646526711885458,14.629293328069485,4.036320568495855,31.271604938271604,-3.7,0,0.0,52.50000000000001,SEA,True
88,1980.0,John Lambert,27,CLE,74.0,0.453,0.008,0.253,14.0,5.1,1.6,1.7,12.6,14.7,1.8,0.066,0.05,0.723,15.0,0.36990701491364825,14.501510574018129,7.359516616314199,17.89189189189189,-1.4,1,0.0,40.60000000000001,KCK,False
89,1980.0,John Long,23,DET,69.0,0.535,0.01,0.16699999999999998,7.5,13.0,2.4,0.6,14.2,23.7,3.6,0.07200000000000001,0.083,0.825,29.0,0.7083284465271462,23.63451776649746,4.48730964467005,34.26086956521739,-1.2000000000000002,0,0.0,24.1,DET,True
90,1980.0,John Lucas,26,GSW,80.0,0.528,0.051,0.348,4.4,29.2,2.4,0.1,16.1,17.0,5.9,0.103,0.28600000000000003,0.768,1.0,0.7140476593964722,14.41910966340934,3.4049945711183502,34.5375,-4.6000000000000005,0,0.0,30.3,GSW,True
91,1980.0,John Roche,30,DEN,82.0,0.562,0.174,0.273,2.6,24.7,1.7,0.3,16.1,17.0,4.2,0.08800000000000001,0.38,0.866,14.0,0.5763664272239738,15.559055118110235,2.9186351706036744,27.87804878048781,-3.4000000000000004,0,0.0,26.2,DEN,True
